# WaveAns.  Transmission
 2000.00    0.00000
 2010.00    0.00000
 2020.00    0.00000
 2030.00    0.00000
 2040.00    0.00000
 2050.00    0.00000
 2060.00    0.00000
 2070.00    0.00000
 2080.00    0.00000
 2090.00    0.00000
 2100.00    0.00000
 2110.00    0.00000
 2120.00    0.00000
 2130.00    0.00000
 2140.00    0.00000
 2150.00    0.00000
 2160.00    0.00000
 2170.00    0.00000
 2180.00    0.00000
 2190.00    0.00000
 2200.00    0.00000
 2210.00    0.00000
 2220.00    0.00000
 2230.00    0.00000
 2240.00    0.00000
 2250.00    0.00000
 2260.00    0.00000
 2270.00    0.00000
 2280.00    0.00000
 2290.00    0.00000
 2300.00    0.00000
 2310.00    0.00000
 2320.00    0.00000
 2330.00    0.00000
 2340.00    0.00000
 2350.00    0.00000
 2360.00    0.00000
 2370.00    0.00000
 2380.00    0.00000
 2390.00    0.00000
 2400.00    0.00000
 2410.00    0.00000
 2420.00    0.00000
 2430.00    0.00000
 2440.00    0.00000
 2450.00    0.00000
 2460.00    0.00000
 2470.00    0.00000
 2480.00    0.00000
 2490.00    0.00000
 2500.00    0.00000
 2510.00    0.00000
 2520.00    0.00000
 2530.00    0.00000
 2540.00    0.00000
 2550.00    0.00000
 2560.00    0.00000
 2570.00    0.00000
 2580.00    0.00000
 2590.00    0.00000
 2600.00    0.00000
 2610.00    0.00000
 2620.00    0.00000
 2630.00    0.00000
 2640.00    0.00000
 2650.00    0.00000
 2660.00    0.00000
 2670.00    0.00000
 2680.00    0.00000
 2690.00    0.00000
 2700.00    0.00000
 2710.00    0.00000
 2720.00    0.00000
 2730.00    0.00000
 2740.00    0.00000
 2750.00    0.00000
 2760.00    0.00000
 2770.00    0.00000
 2780.00    0.00000
 2790.00    0.00000
 2800.00    0.00000
 2810.00    0.00000
 2820.00    0.00000
 2830.00    0.00000
 2840.00    0.00000
 2850.00    0.00000
 2860.00    0.00000
 2870.00    0.00000
 2880.00    0.00000
 2890.00    0.00000
 2900.00    0.00000
 2910.00    0.00000
 2920.00    0.00000
 2930.00    0.00000
 2940.00    0.00000
 2950.00    0.00000
 2960.00    0.00000
 2970.00    0.00000
 2980.00    0.00000
 2990.00    0.00000
 3000.00    0.00000
 3010.00    0.00000
 3020.00    0.00000
 3030.00    0.00000
 3040.00    0.00000
 3050.00    0.00000
 3060.00    0.00000
 3070.00    0.00000
 3080.00    0.00000
 3090.00    0.00000
 3100.00    0.00000
 3110.00    0.00000
 3120.00    0.00000
 3130.00    0.00000
 3140.00    0.00000
 3150.00    0.00000
 3160.00    0.00000
 3170.00    0.00000
 3180.00    0.00000
 3190.00    0.00000
 3200.00    0.00000
 3210.00    0.00000
 3220.00    0.00000
 3230.00    0.00000
 3240.00    0.00000
 3250.00    0.00000
 3260.00    0.00000
 3270.00    0.00000
 3280.00    0.00000
 3290.00    0.00000
 3300.00    0.00000
 3310.00    0.00000
 3320.00    0.00000
 3330.00    0.00000
 3340.00    0.00000
 3350.00    0.00000
 3360.00    0.00000
 3370.00    0.00000
 3380.00    0.00000
 3390.00    0.00000
 3400.00    0.00000
 3410.00    0.00000
 3420.00    0.00000
 3430.00    0.00000
 3440.00    0.00000
 3450.00    0.00000
 3460.00    0.00000
 3470.00    0.00000
 3480.00    0.00000
 3490.00    0.00000
 3500.00    0.00000
 3510.00    0.00000
 3520.00    0.00000
 3530.00    0.00000
 3540.00    0.00000
 3550.00    0.00000
 3560.00    0.00000
 3570.00    0.00000
 3580.00    0.00000
 3590.00    0.00000
 3600.00    0.00000
 3610.00    0.00000
 3620.00    0.00000
 3630.00    0.00000
 3640.00    0.00000
 3650.00    0.00000
 3660.00    0.00000
 3670.00    0.00000
 3680.00    0.00000
 3690.00    0.00000
 3700.00    0.00000
 3710.00    0.00016
 3720.00    0.00032
 3730.00    0.00049
 3740.00    0.00067
 3750.00    0.00085
 3760.00    0.00104
 3770.00    0.00123
 3780.00    0.00142
 3790.00    0.00162
 3800.00    0.00183
 3810.00    0.01098
 3820.00    0.02042
 3830.00    0.03015
 3840.00    0.04016
 3850.00    0.05047
 3860.00    0.06108
 3870.00    0.07198
 3880.00    0.08317
 3890.00    0.09466
 3900.00    0.10645
 3910.00    0.11854
 3920.00    0.13089
 3930.00    0.14351
 3940.00    0.15641
 3950.00    0.16957
 3960.00    0.18300
 3970.00    0.19670
 3980.00    0.21067
 3990.00    0.22492
 4000.00    0.23944
 4010.00    0.24214
 4020.00    0.24483
 4030.00    0.24754
 4040.00    0.25025
 4050.00    0.25297
 4060.00    0.25570
 4070.00    0.25843
 4080.00    0.26117
 4090.00    0.26391
 4100.00    0.26667
 4110.00    0.26894
 4120.00    0.27122
 4130.00    0.27351
 4140.00    0.27580
 4150.00    0.27810
 4160.00    0.28040
 4170.00    0.28270
 4180.00    0.28502
 4190.00    0.28734
 4200.00    0.28966
 4210.00    0.29138
 4220.00    0.29309
 4230.00    0.29482
 4240.00    0.29654
 4250.00    0.29827
 4260.00    0.30001
 4270.00    0.30174
 4280.00    0.30349
