#      time  integrated_mags
#     [Myr]    [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]
   712.0000    -4.43  -3.33  -3.77  -3.99  -4.16  -4.43  -2.17  -3.13  -4.16  -4.12  -4.01  -3.91  -3.90  -8.39  -6.92  -8.47  -2.74  -5.93
   535.0000    -4.56  -3.85  -4.10  -4.27  -4.37  -4.56  -2.62  -3.47  -4.40  -4.30  -4.14  -4.03  -4.01  -8.58  -7.06  -8.70  -4.81  -6.60
   272.0000    -5.01  -5.09  -5.05  -4.96  -4.95  -5.01  -3.76  -4.35  -5.04  -4.83  -4.60  -4.44  -4.40  -9.14  -7.52  -9.32  -7.43  -8.03
   654.0000    -4.47  -3.50  -3.87  -4.09  -4.23  -4.47  -2.31  -3.24  -4.24  -4.18  -4.06  -3.95  -3.94  -8.45  -6.97  -8.55  -3.44  -6.16
    74.0000    -5.67  -6.85  -6.52  -5.84  -5.75  -5.66  -5.44  -5.61  -5.88  -5.57  -5.28  -5.05  -4.98  -9.92  -8.20 -10.18  -9.72  -9.92
   485.0000    -4.60  -4.02  -4.22  -4.37  -4.44  -4.60  -2.77  -3.59  -4.49  -4.36  -4.19  -4.07  -4.05  -8.65  -7.10  -8.78  -5.33  -6.81
   807.0000    -4.27  -3.02  -3.54  -3.74  -3.96  -4.27  -1.90  -2.89  -3.93  -3.94  -3.85  -3.76  -3.74  -8.19  -6.76  -8.26  -1.80  -5.55
   530.0000    -4.58  -3.88  -4.13  -4.30  -4.40  -4.58  -2.65  -3.50  -4.43  -4.32  -4.17  -4.05  -4.03  -8.61  -7.08  -8.73  -4.88  -6.64
   829.0000    -4.29  -3.01  -3.55  -3.75  -3.98  -4.29  -1.90  -2.90  -3.94  -3.96  -3.87  -3.78  -3.76  -8.21  -6.78  -8.27  -1.72  -5.53
   978.0000    -4.07  -2.58  -3.24  -3.39  -3.68  -4.07  -1.52  -2.56  -3.61  -3.69  -3.64  -3.56  -3.54  -7.93  -6.55  -7.97  -0.42  -4.98
   279.0000    -4.95  -5.00  -4.97  -4.89  -4.89  -4.95  -3.68  -4.28  -4.98  -4.77  -4.55  -4.39  -4.35  -9.08  -7.47  -9.26  -7.31  -7.94
   818.0000    -4.28  -3.01  -3.54  -3.74  -3.97  -4.28  -1.89  -2.89  -3.93  -3.95  -3.86  -3.77  -3.75  -8.20  -6.77  -8.26  -1.71  -5.53
   804.0000    -4.27  -3.02  -3.54  -3.74  -3.96  -4.27  -1.90  -2.89  -3.93  -3.94  -3.85  -3.75  -3.74  -8.19  -6.76  -8.26  -1.81  -5.56
     6.0000    -6.17  -8.39  -7.77  -6.55  -6.39  -6.17  -6.90  -6.69  -6.57  -6.16  -5.81  -5.51  -5.40 -10.56  -8.72 -10.90 -11.82 -11.65
    68.0000    -5.72  -6.96  -6.61  -5.90  -5.81  -5.72  -5.55  -5.69  -5.95  -5.63  -5.34  -5.10  -5.02  -9.99  -8.25 -10.25  -9.86 -10.04
   116.0000    -5.27  -6.02  -5.80  -5.34  -5.29  -5.27  -4.64  -4.96  -5.41  -5.14  -4.88  -4.68  -4.62  -9.47  -7.79  -9.70  -8.70  -9.04
