# Teff logg metallicity alpha specname
2000 3.50 -1.50 0.0 02000_p3.5_m1.5_p00.spec
2000 4.00 -1.50 0.0 02000_p4.0_m1.5_p00.spec
2000 4.50 -1.50 0.0 02000_p4.5_m1.5_p00.spec
2000 5.00 -1.50 0.0 02000_p5.0_m1.5_p00.spec
2000 5.50 -1.50 0.0 02000_p5.5_m1.5_p00.spec
2200 3.50 -1.50 0.0 02200_p3.5_m1.5_p00.spec
2200 4.00 -1.50 0.0 02200_p4.0_m1.5_p00.spec
2200 4.50 -1.50 0.0 02200_p4.5_m1.5_p00.spec
2200 5.00 -1.50 0.0 02200_p5.0_m1.5_p00.spec
2200 5.50 -1.50 0.0 02200_p5.5_m1.5_p00.spec
2500 -1.02 -1.50 0.0 02500_m1.0_m1.5_p00.spec
2500 -0.70 -1.50 0.0 02500_m0.7_m1.5_p00.spec
2500 -0.29 -1.50 0.0 02500_m0.3_m1.5_p00.spec
2500 4.00 -1.50 0.0 02500_p4.0_m1.5_p00.spec
2500 4.50 -1.50 0.0 02500_p4.5_m1.5_p00.spec
2500 5.00 -1.50 0.0 02500_p5.0_m1.5_p00.spec
2500 5.50 -1.50 0.0 02500_p5.5_m1.5_p00.spec
2800 -1.02 -1.50 0.0 02800_m1.0_m1.5_p00.spec
2800 -0.70 -1.50 0.0 02800_m0.7_m1.5_p00.spec
2800 -0.29 -1.50 0.0 02800_m0.3_m1.5_p00.spec
2800 3.50 -1.50 0.0 02800_p3.5_m1.5_p00.spec
2800 4.00 -1.50 0.0 02800_p4.0_m1.5_p00.spec
2800 4.50 -1.50 0.0 02800_p4.5_m1.5_p00.spec
2800 5.00 -1.50 0.0 02800_p5.0_m1.5_p00.spec
3000 -0.70 -1.50 0.0 03000_m0.7_m1.5_p00.spec
3000 -0.29 -1.50 0.0 03000_m0.3_m1.5_p00.spec
3000 0.28 -1.50 0.0 03000_p0.3_m1.5_p00.spec
3000 0.60 -1.50 0.0 03000_p0.6_m1.5_p00.spec
3000 4.00 -1.50 0.0 03000_p4.0_m1.5_p00.spec
3000 4.50 -1.50 0.0 03000_p4.5_m1.5_p00.spec
3000 5.00 -1.50 0.0 03000_p5.0_m1.5_p00.spec
3000 5.50 -1.50 0.0 03000_p5.5_m1.5_p00.spec
3200 -0.70 -1.50 0.0 03200_m0.7_m1.5_p00.spec
3200 -0.51 -1.50 0.0 03200_m0.5_m1.5_p00.spec
3200 -0.29 -1.50 0.0 03200_m0.3_m1.5_p00.spec
3200 0.28 -1.50 0.0 03200_p0.3_m1.5_p00.spec
3200 0.60 -1.50 0.0 03200_p0.6_m1.5_p00.spec
3200 3.50 -1.50 0.0 03200_p3.5_m1.5_p00.spec
3200 4.00 -1.50 0.0 03200_p4.0_m1.5_p00.spec
3200 4.50 -1.50 0.0 03200_p4.5_m1.5_p00.spec
3200 5.00 -1.50 0.0 03200_p5.0_m1.5_p00.spec
3200 5.50 -1.50 0.0 03200_p5.5_m1.5_p00.spec
3350 -0.51 -1.50 0.0 03350_m0.5_m1.5_p00.spec
3350 -0.29 -1.50 0.0 03350_m0.3_m1.5_p00.spec
3350 0.28 -1.50 0.0 03350_p0.3_m1.5_p00.spec
3350 0.60 -1.50 0.0 03350_p0.6_m1.5_p00.spec
3350 0.87 -1.50 0.0 03350_p0.9_m1.5_p00.spec
3350 4.00 -1.50 0.0 03350_p4.0_m1.5_p00.spec
3350 5.00 -1.50 0.0 03350_p5.0_m1.5_p00.spec
3350 5.50 -1.50 0.0 03350_p5.5_m1.5_p00.spec
3500 0.00 -1.50 0.0 03500_p0.0_m1.5_p00.spec
3500 0.50 -1.50 0.0 03500_p0.5_m1.5_p00.spec
3500 1.00 -1.50 0.0 03500_p1.0_m1.5_p00.spec
3500 1.50 -1.50 0.0 03500_p1.5_m1.5_p00.spec
3500 2.00 -1.50 0.0 03500_p2.0_m1.5_p00.spec
3500 2.50 -1.50 0.0 03500_p2.5_m1.5_p00.spec
3500 3.00 -1.50 0.0 03500_p3.0_m1.5_p00.spec
3500 3.50 -1.50 0.0 03500_p3.5_m1.5_p00.spec
3500 4.00 -1.50 0.0 03500_p4.0_m1.5_p00.spec
3500 4.50 -1.50 0.0 03500_p4.5_m1.5_p00.spec
3500 5.00 -1.50 0.0 03500_p5.0_m1.5_p00.spec
3750 0.00 -1.50 0.0 03750_p0.0_m1.5_p00.spec
3750 0.50 -1.50 0.0 03750_p0.5_m1.5_p00.spec
3750 1.00 -1.50 0.0 03750_p1.0_m1.5_p00.spec
3750 1.50 -1.50 0.0 03750_p1.5_m1.5_p00.spec
3750 2.00 -1.50 0.0 03750_p2.0_m1.5_p00.spec
3750 2.50 -1.50 0.0 03750_p2.5_m1.5_p00.spec
3750 3.00 -1.50 0.0 03750_p3.0_m1.5_p00.spec
3750 3.50 -1.50 0.0 03750_p3.5_m1.5_p00.spec
3750 4.00 -1.50 0.0 03750_p4.0_m1.5_p00.spec
3750 4.50 -1.50 0.0 03750_p4.5_m1.5_p00.spec
3750 5.00 -1.50 0.0 03750_p5.0_m1.5_p00.spec
4000 0.00 -1.50 0.0 04000_p0.0_m1.5_p00.spec
4000 0.50 -1.50 0.0 04000_p0.5_m1.5_p00.spec
4000 1.00 -1.50 0.0 04000_p1.0_m1.5_p00.spec
4000 1.50 -1.50 0.0 04000_p1.5_m1.5_p00.spec
4000 2.00 -1.50 0.0 04000_p2.0_m1.5_p00.spec
4000 2.50 -1.50 0.0 04000_p2.5_m1.5_p00.spec
4000 3.00 -1.50 0.0 04000_p3.0_m1.5_p00.spec
4000 3.50 -1.50 0.0 04000_p3.5_m1.5_p00.spec
4000 4.00 -1.50 0.0 04000_p4.0_m1.5_p00.spec
4000 4.50 -1.50 0.0 04000_p4.5_m1.5_p00.spec
4000 5.00 -1.50 0.0 04000_p5.0_m1.5_p00.spec
4250 0.00 -1.50 0.0 04250_p0.0_m1.5_p00.spec
4250 0.50 -1.50 0.0 04250_p0.5_m1.5_p00.spec
4250 1.00 -1.50 0.0 04250_p1.0_m1.5_p00.spec
4250 1.50 -1.50 0.0 04250_p1.5_m1.5_p00.spec
4250 2.00 -1.50 0.0 04250_p2.0_m1.5_p00.spec
4250 2.50 -1.50 0.0 04250_p2.5_m1.5_p00.spec
4250 3.00 -1.50 0.0 04250_p3.0_m1.5_p00.spec
4250 3.50 -1.50 0.0 04250_p3.5_m1.5_p00.spec
4250 4.00 -1.50 0.0 04250_p4.0_m1.5_p00.spec
4250 4.50 -1.50 0.0 04250_p4.5_m1.5_p00.spec
4250 5.00 -1.50 0.0 04250_p5.0_m1.5_p00.spec
4500 0.00 -1.50 0.0 04500_p0.0_m1.5_p00.spec
4500 0.50 -1.50 0.0 04500_p0.5_m1.5_p00.spec
4500 1.00 -1.50 0.0 04500_p1.0_m1.5_p00.spec
4500 1.50 -1.50 0.0 04500_p1.5_m1.5_p00.spec
4500 2.00 -1.50 0.0 04500_p2.0_m1.5_p00.spec
4500 2.50 -1.50 0.0 04500_p2.5_m1.5_p00.spec
4500 3.00 -1.50 0.0 04500_p3.0_m1.5_p00.spec
4500 3.50 -1.50 0.0 04500_p3.5_m1.5_p00.spec
4500 4.00 -1.50 0.0 04500_p4.0_m1.5_p00.spec
4500 4.50 -1.50 0.0 04500_p4.5_m1.5_p00.spec
4500 5.00 -1.50 0.0 04500_p5.0_m1.5_p00.spec
4750 0.00 -1.50 0.0 04750_p0.0_m1.5_p00.spec
4750 0.50 -1.50 0.0 04750_p0.5_m1.5_p00.spec
4750 1.00 -1.50 0.0 04750_p1.0_m1.5_p00.spec
4750 1.50 -1.50 0.0 04750_p1.5_m1.5_p00.spec
4750 2.00 -1.50 0.0 04750_p2.0_m1.5_p00.spec
4750 2.50 -1.50 0.0 04750_p2.5_m1.5_p00.spec
4750 3.00 -1.50 0.0 04750_p3.0_m1.5_p00.spec
4750 3.50 -1.50 0.0 04750_p3.5_m1.5_p00.spec
4750 4.00 -1.50 0.0 04750_p4.0_m1.5_p00.spec
4750 4.50 -1.50 0.0 04750_p4.5_m1.5_p00.spec
4750 5.00 -1.50 0.0 04750_p5.0_m1.5_p00.spec
5000 0.00 -1.50 0.0 05000_p0.0_m1.5_p00.spec
5000 0.50 -1.50 0.0 05000_p0.5_m1.5_p00.spec
5000 1.00 -1.50 0.0 05000_p1.0_m1.5_p00.spec
5000 1.50 -1.50 0.0 05000_p1.5_m1.5_p00.spec
